Breviolum24028_c0_g2_i1	Breviolum24028	OG0001396
Breviolum760583_c0_g1_i1	Breviolum760583	OG0001401
Breviolum348312_c0_g2_i1	Breviolum348312	OG0000733
Breviolum463032_c0_g1_i1	Breviolum463032	OG0002978
Breviolum41572_c0_g1_i1	Breviolum41572	OG0000571
Breviolum320368_c1_g1_i1	Breviolum320368	OG0003959
Breviolum704161_c0_g1_i1	Breviolum704161	OG0000005
Breviolum259579_c0_g2_i1	Breviolum259579	OG0001534
Breviolum460080_c0_g1_i1	Breviolum460080	OG0000610
Breviolum255990_c0_g1_i1	Breviolum255990	OG0001794
Breviolum193621_c0_g2_i1	Breviolum193621	OG0004914
Breviolum608574_c0_g1_i1	Breviolum608574	OG0000776
Breviolum783123_c0_g1_i1	Breviolum783123	OG0000118
Breviolum655317_c0_g1_i1	Breviolum655317	OG0000087
Breviolum555652_c0_g1_i1	Breviolum555652	OG0002807
Breviolum33754_c0_g1_i1	Breviolum33754	OG0006454
Breviolum845083_c0_g1_i1	Breviolum845083	OG0006544
Breviolum465202_c0_g1_i1	Breviolum465202	OG0007758
Breviolum691975_c0_g1_i1	Breviolum691975	OG0000186
Breviolum687372_c0_g1_i1	Breviolum687372	OG0001182
Breviolum262579_c0_g2_i2	Breviolum262579	OG0009328
Breviolum379722_c0_g2_i1	Breviolum379722	OG0000014
Breviolum593794_c0_g1_i1	Breviolum593794	OG0000591
Breviolum621788_c0_g1_i1	Breviolum621788	OG0008677
Breviolum573005_c0_g1_i1	Breviolum573005	OG0000177
Breviolum576594_c0_g1_i1	Breviolum576594	OG0007941
Breviolum368669_c1_g6_i1	Breviolum368669	OG0003163
Breviolum847496_c0_g1_i1	Breviolum847496	OG0007783
Breviolum316605_c0_g1_i3	Breviolum316605	OG0004972
Breviolum342443_c1_g1_i1	Breviolum342443	OG0000009
Breviolum242621_c0_g1_i1	Breviolum242621	OG0000597
Breviolum700392_c0_g1_i1	Breviolum700392	OG0007074
Breviolum313662_c0_g1_i1	Breviolum313662	OG0000131
Breviolum898_c0_g2_i1	Breviolum898	OG0002063
Breviolum352627_c0_g5_i1	Breviolum352627	OG0007402
Breviolum372991_c0_g2_i3	Breviolum372991	OG0000316
Breviolum840241_c0_g1_i1	Breviolum840241	OG0008067
Breviolum463014_c0_g1_i1	Breviolum463014	OG0000955
Breviolum633972_c0_g1_i1	Breviolum633972	OG0010158
Breviolum461862_c0_g1_i1	Breviolum461862	OG0002184
Breviolum399009_c0_g2_i1	Breviolum399009	OG0001451
Breviolum214817_c0_g1_i2	Breviolum214817	OG0002137
Breviolum97508_c0_g2_i1	Breviolum97508	OG0005703
Breviolum212479_c0_g2_i1	Breviolum212479	OG0001679
Breviolum713385_c0_g1_i1	Breviolum713385	OG0003680
Breviolum772375_c0_g1_i1	Breviolum772375	OG0002699
Breviolum305843_c0_g3_i1	Breviolum305843	OG0009551
Breviolum352331_c0_g3_i1	Breviolum352331	OG0008208
Breviolum239505_c0_g1_i2	Breviolum239505	OG0005614
Breviolum465304_c0_g1_i1	Breviolum465304	OG0003677
Breviolum457838_c0_g1_i1	Breviolum457838	OG0001536
Breviolum851198_c0_g1_i1	Breviolum851198	OG0009670
