Breviolum17138	U
Breviolum11684	O
Breviolum89954	-
Breviolum2178	G
Breviolum77933	H
Breviolum47098	O
Breviolum95543	O
Breviolum56036	U
Breviolum98437	T
Breviolum98487	I
Breviolum67540	EH
Breviolum65436	E
Breviolum20897	Z
Breviolum12457	-
Breviolum56523	F
Breviolum1480	O
Breviolum43639	G
Breviolum86772	U
Breviolum18409	J
Breviolum55811	P
Breviolum85185	DTZ
Breviolum55405	AJ
Breviolum56585	O
Breviolum29145	-
Breviolum8918	Q
Breviolum89187	B
Breviolum949	V
Breviolum970	C
Breviolum97230	C
Breviolum8234	E
Breviolum16325	O
Breviolum9549	G
Breviolum76710	A
Breviolum39870	C
Breviolum23055	F
Breviolum26603	M
Breviolum16079	G
Breviolum68957	EI
Breviolum47009	O
Breviolum46194	A
Breviolum22781	C
Breviolum1456	J
Breviolum18926	Q
Breviolum47530	A
Breviolum85877	C
Breviolum51497	E
Breviolum557	A
Breviolum79315	T
Breviolum38134	C
Breviolum57159	P
Breviolum24547	F
Breviolum4593	I
Breviolum46614	F
Breviolum87136	A
Breviolum20222	O
Breviolum57051	O
Breviolum8191	J
Breviolum55710	I
Breviolum24043	J
Breviolum50037	K
Breviolum96668	A
Breviolum101157	E
Breviolum1362	G
Breviolum99777	J
Breviolum11781	J
Breviolum19665	U
Breviolum4203	C
Breviolum7503	T
Breviolum10637	F
Breviolum66747	H
Breviolum903	F
Breviolum23757	O
Breviolum2575	J
Breviolum4902	A
Breviolum37572	O
Breviolum102681	C
Breviolum28077	J
Breviolum52235	N
Breviolum23912	K
Breviolum42128	I
Breviolum47895	DZ
Breviolum13135	C
Breviolum67480	OT
Breviolum80118	C
Breviolum14422	D
Breviolum79827	GM
Breviolum2398	T
Breviolum57237	K
Breviolum49176	O
Breviolum69026	T
Breviolum10026	H
Breviolum96382	CG
Breviolum60949	J
Breviolum87525	U
Breviolum85493	A
Breviolum100951	E
Breviolum57599	P
Breviolum1703	K
Breviolum95513	E
Breviolum60430	B
Breviolum12785	Z
Breviolum8102	F
Breviolum40923	C
Breviolum85759	E
Breviolum58915	E
Breviolum21467	Z
Breviolum85937	O
Breviolum7040	O
Breviolum87380	O
Breviolum78713	T
Breviolum39131	I
Breviolum9391	A
Breviolum19221	I
Breviolum49127	A
Breviolum45984	O
Breviolum60011	U
Breviolum57674	J
